self [us] ; cumulative ; imported package
     3014 ;       3014 ;                     pydantic._internal._internal_dataclass
     7065 ;       7065 ;                     pydantic._internal._utils
     3753 ;       3753 ;                     pydantic.annotated_handlers
     7816 ;       7816 ;                       pydantic._internal._core_metadata
    14071 ;      14071 ;                       pydantic._internal._core_utils
     4760 ;       4760 ;                       pydantic._internal._mock_val_ser
     3972 ;       3972 ;                       pydantic._internal._schema_generation_shared
    44174 ;      74791 ;                     pydantic.json_schema
    87282 ;     203639 ;                   pydantic.types
     3186 ;       3186 ;                       _contextvars
     3551 ;       6736 ;                     contextvars
     9375 ;       9375 ;                     pydantic._internal._forward_ref
     9384 ;      25493 ;                   pydantic._internal._generics
    54701 ;     404503 ;                 pydantic.fields
    72930 ;     477432 ;               pydantic._internal._decorators
     9505 ;       9505 ;                   pydantic.plugin
     5854 ;      15358 ;                 pydantic.plugin._schema_validator
     5200 ;       5200 ;                 pydantic._internal._discriminated_union
     7090 ;       7090 ;                   pydantic._internal._known_annotated_metadata
    18977 ;      26066 ;                 pydantic._internal._generate_schema
     6554 ;      53177 ;               pydantic._internal._dataclasses
     9005 ;     633265 ;             pydantic.dataclasses
    33243 ;      33243 ;             pydantic.functional_serializers
    63358 ;      63358 ;             pydantic.functional_validators
    13765 ;      13765 ;                 pydantic._internal._validate_call
     6918 ;      20683 ;               pydantic._internal._model_construction
    12411 ;      33093 ;             pydantic.main
    28765 ;      28765 ;             pydantic.networks
     6097 ;       6097 ;             pydantic.type_adapter
     3296 ;       3296 ;             pydantic.validate_call
    10426 ;    1213921 ;           pydantic
     3062 ;       3062 ;           shepherd_core.calibration_hw_def
     4406 ;       4406 ;               yaml.error
     5335 ;       5335 ;               yaml.tokens
     4888 ;       4888 ;               yaml.events
     3695 ;       3695 ;               yaml.nodes
    78013 ;      78013 ;                 yaml.reader
     7488 ;       7488 ;                 yaml.scanner
     4805 ;       4805 ;                 yaml.parser
     3920 ;       3920 ;                 yaml.composer
    24479 ;      24479 ;                 yaml.constructor
    51162 ;      51162 ;                 yaml.resolver
     6455 ;     176320 ;               yaml.loader
     5540 ;       5540 ;                 yaml.emitter
     3883 ;       3883 ;                 yaml.serializer
     6757 ;       6757 ;                 yaml.representer
     5047 ;      21227 ;               yaml.dumper
      963 ;        963 ;                 yaml._yaml
     3340 ;       4302 ;               yaml.cyaml
     8177 ;     228346 ;             yaml
