Time [s],Pru00,Pru01
22.547436862,1,1
22.547447276,1,0
22.647388914,0,0
22.647436652,1,0
22.647436842,1,1
22.647447272,1,0
22.747387914,0,0
22.747436660,1,0
22.747436850,1,1
22.747447264,1,0
22.847389930,0,0
22.847436636,1,0
22.847436762,1,1
22.847447170,1,0
22.947388128,0,0
22.947436536,1,0
22.947436726,1,1
22.947447164,1,0
23.047387838,0,0
23.047436226,1,0
23.047436366,1,1
23.047446818,1,0
23.147392886,0,0
23.147436024,1,0
23.147436214,1,1
23.147446644,1,0
23.247389202,0,0
23.247435962,1,0
23.247436150,1,1
23.247446560,1,0
23.347392570,0,0
23.347435968,1,0
23.347436088,1,1
23.347446496,1,0
23.447390690,0,0
23.447435968,1,0
23.447436132,1,1
23.447446576,1,0
23.547388000,0,0
23.547435416,1,0
23.547435608,1,1
23.547446060,1,0
23.647388844,0,0
23.647435584,1,0
23.647435774,1,1
23.647446222,1,0
23.747387482,0,0
23.747435240,1,0
23.747435430,1,1
23.747445874,1,0
23.847391820,0,0
23.847435238,1,0
23.847435378,1,1
23.847445786,1,0
23.947386788,0,0
23.947434866,1,0
23.947435058,1,1
23.947445466,1,0
24.047393986,0,0
24.047434806,1,0
24.047434986,1,1
24.047445394,1,0
24.147387644,0,0
24.147434692,1,0
24.147434832,1,1
24.147445242,1,0
24.247390314,0,0
24.247434778,1,0
24.247434968,1,1
24.247445402,1,0
24.347386568,0,0
24.347434636,1,0
24.347434796,1,1
24.347445224,1,0
24.447390436,0,0
24.447434506,1,0
24.447434630,1,1
24.447445048,1,0
24.547386516,0,0
24.547434374,1,0
24.547434778,1,1
24.547455242,1,0
24.647387320,0,0
24.647434070,1,0
24.647434478,1,1
24.647444888,1,0
24.747387610,0,0
24.747434044,1,0
24.747434450,1,1
24.747444878,1,0
24.847390956,0,0
24.847433754,1,0
24.847433944,1,1
24.847444362,1,0
24.947384544,0,0
24.947433612,1,0
24.947433772,1,1
24.947444186,1,0
25.047386250,0,0
25.047433668,1,0
25.047433858,1,1
25.047444268,1,0
25.147388058,0,0
25.147433474,1,0
25.147433634,1,1
25.147444088,1,0
25.247385344,0,0
25.247433370,1,0
25.247433560,1,1
25.247443994,1,0
25.347386334,0,0
25.347433048,1,0
25.347433240,1,1
25.347443648,1,0
25.447386408,0,0
25.447433128,1,0
25.447433302,1,1
25.447443726,1,0
25.547385734,0,0
25.547432774,1,0
25.547432914,1,1
25.547443322,1,0
25.647385280,0,0
25.647432658,1,0
25.647432848,1,1
25.647443256,1,0
25.747384868,0,0
25.747432604,1,0
25.747432986,1,1
25.747443418,1,0
25.847386256,0,0
25.847432532,1,0
25.847432724,1,1
25.847443156,1,0
25.947386830,0,0
25.947432250,1,0
25.947432390,1,1
25.947442808,1,0
26.047384756,0,0
26.047432126,1,0
26.047432316,1,1
26.047442724,1,0
26.147384882,0,0
26.147431910,1,0
26.147432030,1,1
26.147502636,1,0
26.247387020,0,0
26.247431756,1,0
26.247431932,1,1
26.247442364,1,0
26.347383826,0,0
26.347431884,1,0
26.347432076,1,1
26.347442528,1,0
26.447387792,0,0
26.447431520,1,0
26.447431696,1,1
26.447442104,1,0
26.547387968,0,0
26.547431374,1,0
26.547431494,1,1
26.547441924,1,0
26.647384142,0,0
26.647431310,1,0
26.647431704,1,1
26.647452142,1,0
26.747384990,0,0
26.747431086,1,0
26.747431292,1,1
26.747441700,1,0
26.847384884,0,0
26.847430944,1,0
26.847431134,1,1
26.847441542,1,0
26.947383112,0,0
26.947430818,1,0
26.947431008,1,1
26.947441448,1,0
27.047384364,0,0
27.047430762,1,0
27.047430922,1,1
27.047441350,1,0
27.147385422,0,0
27.147430928,1,0
27.147431132,1,1
27.147441542,1,0
27.247382918,0,0
27.247430624,1,0
27.247430820,1,1
27.247441278,1,0
27.347383952,0,0
27.347430352,1,0
27.347430760,1,1
27.347441186,1,0
27.447381430,0,0
27.447430326,1,0
27.447430516,1,1
27.447440924,1,0
27.547383172,0,0
27.547430220,1,0
27.547430410,1,1
27.547440828,1,0
27.647382628,0,0
27.647430006,1,0
27.647430196,1,1
27.647440650,1,0
27.747384662,0,0
27.747429762,1,0
27.747429954,1,1
27.747440386,1,0
27.847381202,0,0
27.847429560,1,0
27.847429754,1,1
27.847440208,1,0
27.947382974,0,0
27.947429692,1,0
27.947429882,1,1
27.947440292,1,0
28.047383572,0,0
28.047429286,1,0
28.047429446,1,1
28.047439854,1,0
28.147382708,0,0
28.147429414,1,0
28.147429608,1,1
28.147440016,1,0
28.247381592,0,0
28.247429290,1,0
28.247429480,1,1
28.247439924,1,0
28.347381386,0,0
28.347429094,1,0
28.347429284,1,1
28.347439744,1,0
28.447385832,0,0
28.447428908,1,0
28.447429048,1,1
28.447439476,1,0
28.547381586,0,0
28.547428642,1,0
28.547428822,1,1
28.547439230,1,0
28.647381832,0,0
28.647428548,1,0
28.647428740,1,1
28.647499326,1,0
28.747383564,0,0
28.747428336,1,0
28.747428530,1,1
28.747438970,1,0
28.847381240,0,0
28.847428330,1,0
28.847428518,1,1
28.847438958,1,0
28.947385044,0,0
28.947428132,1,0
28.947428326,1,1
28.947438776,1,0
29.047380220,0,0
29.047427926,1,0
29.047428066,1,1
29.047438510,1,0
29.147384784,0,0
29.147427892,1,0
29.147428014,1,1
29.147438422,1,0
29.247380920,0,0
29.247427658,1,0
29.247427848,1,1
29.247438258,1,0
29.347380194,0,0
29.347427562,1,0
29.347427686,1,1
29.347438096,1,0
29.447380908,0,0
29.447427654,1,0
29.447427844,1,1
29.447438252,1,0
29.547380154,0,0
29.547427188,1,0
29.547427344,1,1
29.547437754,1,0
29.647383536,0,0
29.647427286,1,0
29.647427482,1,1
