voltage_set_V;PMEG10010ELRX V1 [mA];PMEG10010ELRX V2 [mA];RB168MM-40TR v1 [mA];RB168MM-40TR v2 [mA];SMMSD701T1G V1 [mA];SMMSD701T1G V2 [mA];PMEG10010ELRX V3 [mA];RB168MM-40TR v3 [mA];SMMSD701T1G V3 [mA]
0,00E+00;1,39E-09;5,82E-09;-5,39E-08;-5,00E-08;1,76E-08;1,91E-08;9,04E-09;-4,44E-08;2,38E-07
0,1;5,62E-05;4,77E-05;0,000142856;0,000138874;3,68E-05;3,49E-05;2,00E-05;2,00E-05;2,00E-05
0,2;0,00267062;0,00231157;0,00700073;0,00682538;0,00172622;0,00165342;2,00E-05;2,00E-05;2,00E-05
0,3;0,120532;0,0999935;0,323451;0,099994;0,0663098;0,0644416;2,00E-05;2,00E-05;2,00E-05
0,4;4,834;0,0999933;9,99997;0,0999941;0,770264;0,0999952;2,00E-05;2,00E-05;2,00E-05
0,5;9,99979;0,0999934;9,99996;0,0999942;2,28328;0,099995;2,00E-05;2,00E-05;2,00E-05
0,6;9,99976;0,0999932;10;0,0999941;4,18348;0,0999949;2,00E-05;2,00E-05;2,00E-05
0,7;9,99976;0,0999932;9,99994;0,0999941;7,98073;0,0999957;2,00E-05;2,00E-05;2,00E-05
0,8;9,99975;0,0999935;9,99999;0,0999947;9,99999;0,0999951;2,00E-05;2,00E-05;2,00E-05
0,9;9,99998;0,0999942;9,99994;0,0999947;9,99994;0,0999952;2,00E-05;2,00E-05;2,00E-05
1;9,99998;0,0999941;9,99988;0,0999947;9,99993;0,0999959;2,00E-05;2,00E-05;2,00E-05
1,1;9,99976;0,0999941;9,9999;0,0999942;9,99998;0,0999957;2,00E-05;2,00E-05;2,00E-05
1,2;9,99992;0,0999945;9,99988;0,0999943;9,9997;0,0999957;2,00E-05;2,00E-05;2,00E-05
1,3;10;0,0999941;9,99988;0,099994;10;0,0999963;2,00E-05;2,00E-05;2,00E-05
1,4;9,99979;0,099994;9,99991;0,099993;9,99988;0,0999958;2,00E-05;2,00E-05;2,00E-05
1,5;9,99979;0,0999948;9,9999;0,0999938;9,99984;0,0999958;2,00E-05;2,00E-05;2,00E-05
1,6;9,99981;0,099995;9,99992;0,0999935;9,99997;0,0999964;2,00E-05;2,00E-05;2,00E-05
1,7;9,99988;0,0999935;9,99997;0,0999936;9,99999;0,0999956;2,00E-05;2,00E-05;2,00E-05
1,8;9,99986;0,0999933;9,99994;0,0999939;9,99984;0,0999955;2,00E-05;2,00E-05;2,00E-05
1,9;9,99992;0,0999937;9,99994;0,0999936;9,99998;0,0999959;2,00E-05;2,00E-05;2,00E-05
2;9,99985;0,0999934;9,99988;0,0999932;9,99999;0,0999954;2,00E-05;2,00E-05;2,00E-05
2,1;9,99988;0,0999935;9,99978;0,0999933;9,99997;0,0999949;2,00E-05;2,00E-05;2,00E-05
2,2;9,99984;0,0999939;9,99986;0,0999936;9,99982;0,0999954;2,00E-05;2,00E-05;2,00E-05
2,3;9,99976;0,0999942;9,99993;0,0999932;10;0,099995;2,00E-05;2,00E-05;2,00E-05
2,4;9,99982;0,0999947;9,99984;0,0999934;9,99981;0,0999951;2,00E-05;2,00E-05;2,00E-05
2,5;9,9998;0,0999953;9,9999;0,0999941;9,99998;0,0999951;2,00E-05;2,00E-05;2,00E-05
2,6;9,99978;0,0999951;9,99986;0,0999937;9,99984;0,0999955;2,00E-05;2,00E-05;2,00E-05
2,7;9,99979;0,0999944;9,99985;0,0999931;9,99986;0,0999952;2,00E-05;2,00E-05;2,00E-05
2,8;9,99976;0,0999944;9,99978;0,0999933;9,99981;0,099995;2,00E-05;2,00E-05;2,00E-05
2,9;9,99979;0,0999947;9,99986;0,0999941;9,99987;0,0999955;2,00E-05;2,00E-05;2,00E-05
3;9,99981;0,0999947;9,99986;0,0999938;9,99986;0,0999949;2,00E-05;2,00E-05;2,00E-05
3,1;9,99982;0,0999944;10;0,0999943;9,99998;0,0999951;2,00E-05;2,00E-05;2,00E-05
3,2;9,99986;0,0999947;10;0,0999949;9,99994;0,0999959;2,00E-05;2,00E-05;2,00E-05
3,3;9,9999;0,099995;10;0,0999947;10,0001;0,0999956;2,00E-05;2,00E-05;2,00E-05
3,4;9,99986;0,0999952;9,99998;0,0999946;9,99993;0,0999956;2,00E-05;2,00E-05;2,00E-05
3,5;9,99992;0,0999944;9,99987;0,0999946;9,99991;0,0999952;2,00E-05;2,00E-05;2,00E-05
3,6;9,99985;0,0999949;9,99981;0,0999951;9,99988;0,0999955;2,00E-05;2,00E-05;2,00E-05
3,7;9,99982;0,0999944;9,99981;0,0999954;9,99998;0,0999955;2,00E-05;2,00E-05;2,00E-05
3,8;9,99982;0,0999942;9,9999;0,0999959;10;0,0999959;2,00E-05;2,00E-05;2,00E-05
3,9;9,99986;0,0999952;9,99978;0,0999958;9,99998;0,0999955;2,00E-05;2,00E-05;2,00E-05
4;9,9999;0,0999946;9,99986;0,0999956;9,99996;0,0999958;2,00E-05;2,00E-05;2,00E-05
4,1;9,99994;0,099994;9,99987;0,0999957;9,99993;0,0999961;2,00E-05;2,00E-05;2,00E-05
4,2;9,99987;0,0999942;9,99979;0,0999952;9,99991;0,099996;2,00E-05;2,00E-05;2,00E-05
4,3;9,99994;0,0999938;9,9998;0,0999944;9,99987;0,0999957;2,00E-05;2,00E-05;2,00E-05
4,4;10;0,0999935;9,99985;0,0999943;9,9998;0,099995;2,00E-05;2,00E-05;2,00E-05
4,5;9,99999;0,0999934;9,99994;0,0999945;9,9999;0,0999964;2,00E-05;2,00E-05;2,00E-05
4,6;10;0,0999934;9,99985;0,099995;9,99986;0,0999962;2,00E-05;2,00E-05;2,00E-05
4,7;10;0,0999936;9,99986;0,0999961;9,99981;0,0999961;2,00E-05;2,00E-05;2,00E-05
4,8;9,99994;0,0999941;9,99981;0,0999965;9,99984;0,0999955;2,00E-05;2,00E-05;2,00E-05
4,9;9,9999;0,0999948;9,99981;0,0999967;9,9998;0,099996;2,00E-05;2,00E-05;2,00E-05
5;9,99999;0,0999953;9,9998;0,0999967;9,9998;0,0999968;2,00E-05;2,00E-05;2,00E-05
