Time [s],SheepS0,Sheep1,Sheep2
22.438979076,1,1,0
22.438979190,1,1,1
22.538964282,0,1,1
22.538964456,0,1,0
22.538964598,0,0,0
22.538977426,0,1,0
22.538977454,1,1,0
22.538977554,1,1,1
22.638962078,1,0,1
22.638962352,0,0,1
22.638964308,0,0,0
22.638975804,0,1,0
22.638975864,1,1,0
22.638975934,1,1,1
22.738960274,0,1,1
22.738960406,0,0,1
22.738961184,0,0,0
22.738974168,0,1,0
22.738974212,1,1,0
22.738974310,1,1,1
22.838959260,0,1,1
22.838959530,0,0,1
22.838961136,0,0,0
22.838972544,0,1,0
22.838972580,1,1,0
22.838972688,1,1,1
22.938957268,0,1,1
22.938957318,0,0,1
22.938958056,0,0,0
22.938970910,0,1,0
22.938970944,1,1,0
22.938971096,1,1,1
23.038955504,1,0,1
23.038956118,0,0,1
23.038957530,0,0,0
23.038969322,0,1,0
23.038969354,1,1,0
23.038969462,1,1,1
23.138953650,1,0,1
23.138954032,0,0,1
23.138954714,0,0,0
23.138967682,0,1,0
23.138967752,1,1,0
23.138967848,1,1,1
23.238952620,0,1,1
23.238953558,0,0,1
23.238959010,0,0,0
23.238966046,0,1,0
23.238966110,1,1,0
23.238966200,1,1,1
23.338950366,0,1,1
23.338950588,0,0,1
23.338951400,0,0,0
23.338964408,0,1,0
23.338964484,1,1,0
23.338964590,1,1,1
23.438948408,1,0,1
23.438949264,0,0,1
23.438951170,0,0,0
23.438962788,0,1,0
23.438962854,1,1,0
23.438962966,1,1,1
23.538947312,1,0,1
23.538947990,0,0,1
23.538948784,0,0,0
23.538961166,0,1,0
23.538961250,1,1,0
23.538961336,1,1,1
23.638945746,1,0,1
23.638946080,0,0,1
23.638948172,0,0,0
23.638959560,0,1,0
23.638959592,1,1,0
23.638959754,1,1,1
23.738944032,0,1,1
23.738944906,0,0,1
23.738946058,0,0,0
23.738957930,0,1,0
23.738957958,1,1,0
23.738958102,1,1,1
23.838942472,1,0,1
23.838943138,0,0,1
23.838945876,0,0,0
23.838956334,0,1,0
23.838956368,1,1,0
23.838956484,1,1,1
23.938940696,1,0,1
23.938941120,0,0,1
23.938943280,0,0,0
23.938954720,1,0,0
23.938954766,1,1,0
23.938954844,1,1,1
24.038939002,1,0,1
24.038939552,0,0,1
24.038940498,0,0,0
24.038953108,1,0,0
24.038953164,1,1,0
24.038953268,1,1,1
24.138937722,0,1,1
24.138937748,0,0,1
24.138939374,0,0,0
24.138951488,1,0,0
24.138951558,1,1,0
24.138951632,1,1,1
24.238936058,1,0,1
24.238936208,0,0,1
24.238937346,0,0,0
24.238949864,1,0,0
24.238949962,1,1,0
24.238949984,1,1,1
24.338934528,1,0,1
24.338934702,0,0,1
24.338938698,0,0,0
24.338948212,1,0,0
24.338948390,1,0,1
24.338948392,1,1,1
24.438933182,1,0,1
24.438933266,0,0,1
24.438936254,0,0,0
24.438946586,1,0,0
24.438946748,1,0,1
24.438946798,1,1,1
24.538931346,1,0,1
24.538931826,0,0,1
24.538933110,0,0,0
24.538944974,1,0,0
24.538945120,1,0,1
24.538945206,1,1,1
24.638929770,1,0,1
24.638930092,0,0,1
24.638932282,0,0,0
24.638943336,1,0,0
24.638943494,1,0,1
24.638943578,1,1,1
24.738927550,0,1,1
24.738928178,0,0,1
24.738930588,0,0,0
24.738941708,1,0,0
24.738941868,1,0,1
24.738941986,1,1,1
24.838926488,1,0,1
24.838926934,0,0,1
24.838928238,0,0,0
24.838940112,1,0,0
24.838940256,1,0,1
24.838940392,1,1,1
24.938924446,0,1,1
24.938925584,0,0,1
24.938926616,0,0,0
24.938938464,1,0,0
24.938938624,1,0,1
24.938938768,1,1,1
25.038923142,1,0,1
25.038923610,0,0,1
25.038924548,0,0,0
25.038936852,1,0,0
25.038936982,1,0,1
25.038937128,1,1,1
25.138921472,1,0,1
25.138921490,0,0,1
25.138922332,0,0,0
25.138935214,1,0,0
25.138935386,1,0,1
25.138935496,1,1,1
25.238919986,1,0,1
25.238920384,0,0,1
25.238927024,0,0,0
25.238933576,1,0,0
25.238933738,1,0,1
25.238933842,1,1,1
25.338918396,1,0,1
25.338918436,0,0,1
25.338918514,0,0,0
25.338931952,1,0,0
25.338932102,1,0,1
25.338932256,1,1,1
25.438916730,0,1,1
25.438916766,0,0,1
25.438917814,0,0,0
25.438930334,1,0,0
25.438930502,1,0,1
25.438930578,1,1,1
25.538915134,1,0,1
25.538915524,0,0,1
25.538915990,0,0,0
25.538928696,1,0,0
25.538928850,1,0,1
25.538928990,1,1,1
25.638913660,1,0,1
25.638913696,0,0,1
25.638914268,0,0,0
25.638927070,1,0,0
25.638927220,1,0,1
25.638927338,1,1,1
25.738911244,0,1,1
25.738911942,0,0,1
25.738912744,0,0,0
25.738925444,1,0,0
25.738925608,1,0,1
25.738925700,1,1,1
25.838909696,1,0,1
25.838910656,0,0,1
25.838911034,0,0,0
25.838923820,1,0,0
25.838923986,1,0,1
25.838924076,1,1,1
25.938908530,1,0,1
25.938908620,0,0,1
25.938909590,0,0,0
25.938922220,1,0,0
25.938922330,1,0,1
25.938922468,1,1,1
26.038906902,1,0,1
26.038907044,0,0,1
26.038907296,0,0,0
26.038920556,1,0,0
26.038920720,1,0,1
26.038920840,1,1,1
26.138905336,1,0,1
26.138905396,0,0,1
26.138906092,0,0,0
26.138918946,1,0,0
26.138919128,1,0,1
26.138919188,1,1,1
26.238903534,0,1,1
26.238904632,0,0,1
26.238905286,0,0,0
26.238917334,1,0,0
26.238917468,1,0,1
26.238917566,1,1,1
26.338902288,1,0,1
26.338902376,0,0,1
26.338903062,0,0,0
26.338915696,1,0,0
26.338915830,1,0,1
26.338915934,1,1,1
26.438900132,1,0,1
26.438900142,0,0,1
26.438901260,0,0,0
26.438914070,1,0,0
26.438914222,1,0,1
26.438914312,1,1,1
26.538899246,0,1,1
26.538899748,0,1,0
26.538899816,0,0,0
26.538912446,1,0,0
26.538912620,1,0,1
26.538912654,1,1,1
26.638897396,0,1,1
26.638897492,0,0,1
26.638898242,0,0,0
26.638910812,1,0,0
26.638910972,1,0,1
26.638911040,1,1,1
26.738895618,0,1,1
26.738896176,0,0,1
26.738896668,0,0,0
26.738909182,1,0,0
26.738909320,1,0,1
26.738909422,1,1,1
26.838894278,1,1,0
26.838894312,0,1,0
26.838894514,0,0,0
26.838907568,1,0,0
26.838907742,1,0,1
26.838907778,1,1,1
26.938892350,0,1,1
26.938892414,0,0,1
26.938893060,0,0,0
26.938905948,1,0,0
26.938906078,1,0,1
26.938906140,1,1,1
27.038890508,1,0,1
27.038890710,0,0,1
27.038891038,0,0,0
27.038904308,1,0,0
27.038904464,1,0,1
27.038904532,1,1,1
27.138888864,1,0,1
27.138889100,0,0,1
27.138889766,0,0,0
27.138902696,1,0,0
27.138902846,1,0,1
27.138902890,1,1,1
27.238887558,1,0,1
27.238887866,0,0,1
27.238889062,0,0,0
27.238901054,1,0,0
27.238901192,1,0,1
27.238901262,1,1,1
27.338885616,1,0,1
27.338885884,0,0,1
27.338886746,0,0,0
27.338899440,1,0,0
27.338899574,1,0,1
27.338899648,1,1,1
27.438884134,1,0,1
27.438884198,0,0,1
27.438884958,0,0,0
27.438897796,1,0,0
27.438897906,1,0,1
27.438897980,1,1,1
27.538882534,1,0,1
27.538883020,0,0,1
27.538883396,0,0,0
27.538896156,1,0,0
27.538896258,1,0,1
27.538896388,1,1,1
