Time [s],SheepS0,Sheep1,Sheep2
12.130447912,0,0,1
12.130448200,0,0,0
12.130461036,1,0,0
12.130461106,1,1,0
12.130461220,1,1,1
12.230445678,1,0,1
12.230445870,0,0,1
12.230446586,0,0,0
12.230459428,1,0,0
12.230459496,1,1,0
12.230459612,1,1,1
12.330444046,0,1,1
12.330444476,0,0,1
12.330444882,0,0,0
12.330457812,1,0,0
12.330457882,1,1,0
12.330458004,1,1,1
12.430442654,0,1,1
12.430442680,0,0,1
12.430444180,0,0,0
12.430456198,1,0,0
12.430456264,1,1,0
12.430456370,1,1,1
12.530440296,1,0,1
12.530441564,0,0,1
12.530441968,0,0,0
12.530454590,1,0,0
12.530454674,1,1,0
12.530454752,1,1,1
12.630439418,0,1,1
12.630439704,0,0,1
12.630440334,0,0,0
12.630452974,1,0,0
12.630453048,1,1,0
12.630453148,1,1,1
12.730437460,1,0,1
12.730437564,0,0,1
12.730438144,0,0,0
12.730451370,1,0,0
12.730451442,1,1,0
12.730451538,1,1,1
12.830435838,1,0,1
12.830436178,0,0,1
12.830436834,0,0,0
12.830449732,1,0,0
12.830449816,1,1,0
12.830449908,1,1,1
12.930434048,1,0,1
12.930434304,0,0,1
12.930434860,0,0,0
12.930448114,1,0,0
12.930448204,1,1,0
12.930448332,1,1,1
13.030432788,1,0,1
13.030433550,0,0,1
13.030433760,0,0,0
13.030446514,1,0,0
13.030446592,1,1,0
13.030446706,1,1,1
13.130431302,0,1,1
13.130432018,0,0,1
13.130432074,0,0,0
13.130444898,1,0,0
13.130444962,1,1,0
13.130445086,1,1,1
13.230429708,0,1,1
13.230430234,0,0,1
13.230430652,0,0,0
13.230443306,1,0,0
13.230443370,1,1,0
13.230443470,1,1,1
13.330427954,0,1,1
13.330428734,0,0,1
13.330428762,0,0,0
13.330441678,1,0,0
13.330441754,1,1,0
13.330441886,1,1,1
13.430426504,0,1,1
13.430427082,0,0,1
13.430427666,0,0,0
13.430440038,1,0,0
13.430440140,1,1,0
13.430440266,1,1,1
13.530424970,0,1,1
13.530425286,0,0,1
13.530426454,0,0,0
13.530438442,1,0,0
13.530438518,1,1,0
13.530438650,1,1,1
13.630422638,0,1,1
13.630423472,0,1,0
13.630423498,0,0,0
13.630436846,1,0,0
13.630436920,1,1,0
13.630437044,1,1,1
13.730421576,0,1,1
13.730422426,0,0,1
13.730422622,0,0,0
13.730435210,1,0,0
13.730435288,1,1,0
13.730435402,1,1,1
13.830419974,0,1,1
13.830420306,0,0,1
13.830420882,0,0,0
13.830433618,1,0,0
13.830433704,1,1,0
13.830433788,1,1,1
13.930418230,0,1,1
13.930418712,0,0,1
13.930418906,0,0,0
13.930431998,1,0,0
13.930432090,1,1,0
13.930432176,1,1,1
14.030417260,0,1,1
14.030417280,0,0,1
14.030417794,0,0,0
14.030430366,1,0,0
14.030430432,1,1,0
14.030430570,1,1,1
14.130415146,0,1,1
14.130415514,0,0,1
14.130416176,0,0,0
14.130428742,1,0,0
14.130428850,1,1,0
14.130428962,1,1,1
14.230413548,1,0,1
14.230413590,0,0,1
14.230413886,0,0,0
14.230427144,1,0,0
14.230427236,1,1,0
14.230427310,1,1,1
14.330411766,0,1,1
14.330412372,0,0,1
14.330412934,0,0,0
