Time [s],Sheep0S,Sheep1,Sheep2
53.043631574,0,0,1
53.043632502,0,0,0
53.043644750,1,1,0
53.043644834,1,1,1
53.143629490,1,1,0
53.143629664,0,1,0
53.143629792,0,0,0
53.143643106,1,0,0
53.143643136,1,1,0
53.143643162,1,1,1
53.243627312,1,0,1
53.243628156,0,0,1
53.243628586,0,0,0
53.243641430,1,0,0
53.243641460,1,1,0
53.243641490,1,1,1
53.343626374,0,1,1
53.343626530,0,0,1
53.343627112,0,0,0
53.343639776,1,0,0
53.343639810,1,1,0
53.343639838,1,1,1
53.443624388,1,0,1
53.443624642,0,0,1
53.443624958,0,0,0
53.443638120,0,1,0
53.443638128,1,1,0
53.443638162,1,1,1
53.543622572,1,0,1
53.543622712,0,0,1
53.543622748,0,0,0
53.543636468,0,1,0
53.543636496,1,1,0
53.543636514,1,1,1
53.643620628,1,0,1
53.643620846,0,0,1
53.643621312,0,0,0
53.643634838,0,0,1
53.643634842,1,0,1
53.643634846,1,1,1
53.743619534,0,1,1
53.743619630,0,0,1
53.743619802,0,0,0
53.743633144,1,1,0
53.743633212,1,1,1
53.843617754,1,0,1
53.843618864,0,0,1
53.843619450,0,0,0
53.843631486,0,1,0
53.843631496,1,1,0
53.843631556,1,1,1
53.943615872,1,0,1
53.943616212,0,0,1
53.943616876,0,0,0
53.943629862,0,1,0
53.943629864,1,1,0
53.943629866,1,1,1
54.043614916,1,0,1
54.043615136,0,0,1
54.043615528,0,0,0
54.043628198,1,0,0
54.043628206,1,1,0
54.043628212,1,1,1
54.143612504,0,1,1
54.143612540,0,0,1
54.143612964,0,0,0
54.143626528,0,1,0
54.143626546,1,1,0
54.143626580,1,1,1
54.243611392,1,0,1
54.243611602,0,0,1
54.243611840,0,0,0
54.243624836,0,1,0
54.243624878,0,1,1
54.243624910,1,1,1
54.343609776,0,1,1
54.343609828,0,0,1
54.343610492,0,0,0
54.343623218,0,0,1
54.343623224,1,0,1
54.343623226,1,1,1
54.443608232,0,1,1
54.443608290,0,0,1
54.443608468,0,0,0
54.443621548,0,0,1
54.443621556,0,1,1
54.443621578,1,1,1
54.543605880,0,1,1
54.543606020,0,0,1
54.543606056,0,0,0
54.543619894,0,1,0
54.543619914,0,1,1
54.543619924,1,1,1
54.643604776,1,0,1
54.643605226,1,0,0
54.643605268,0,0,0
54.643618206,0,1,0
54.643618252,1,1,0
54.643618266,1,1,1
54.743602498,1,0,1
54.743602944,1,0,0
54.743603250,0,0,0
54.743616570,0,0,1
54.743616578,0,1,1
54.743616608,1,1,1
54.843601118,1,0,1
54.843601880,1,0,0
54.843602376,0,0,0
54.843614888,0,1,0
54.843614914,0,1,1
54.843614948,1,1,1
54.943599942,0,1,1
54.943599996,0,0,1
54.943600166,0,0,0
54.943613252,0,1,0
54.943613290,0,1,1
54.943613300,1,1,1
55.043597926,0,1,1
55.043598234,0,0,1
55.043599036,0,0,0
55.043611590,0,1,0
55.043611628,0,1,1
55.043611666,1,1,1
55.143595972,1,1,0
55.143596004,1,0,0
55.143596296,0,0,0
55.143609906,0,1,0
55.143609948,0,1,1
55.143609992,1,1,1
55.243593830,1,0,1
55.243595242,1,0,0
55.243598214,0,0,0
55.243608250,0,1,0
55.243608278,0,1,1
55.243608312,1,1,1
55.343593340,1,0,1
55.343593880,1,0,0
55.343594602,0,0,0
55.343606612,0,1,0
55.343606648,0,1,1
55.343606688,1,1,1
55.443591186,1,0,1
55.443591658,0,0,1
55.443591742,0,0,0
55.443604916,0,1,0
55.443604990,0,1,1
55.443605016,1,1,1
55.543589156,1,1,0
55.543589310,0,1,0
55.543589402,0,0,0
55.543603290,0,1,0
55.543603308,0,1,1
55.543603354,1,1,1
55.643587490,1,0,1
55.643588050,0,0,1
55.643588086,0,0,0
55.643601630,0,1,0
55.643601658,0,1,1
55.643601712,1,1,1
55.743586236,1,0,1
55.743586824,0,0,1
55.743587124,0,0,0
55.743599972,0,1,0
55.743599986,0,1,1
55.743600052,1,1,1
55.843583906,1,0,1
55.843585348,1,0,0
55.843585740,0,0,0
55.843598286,0,1,0
55.843598340,0,1,1
55.843598380,1,1,1
55.943583072,0,1,1
55.943583166,0,0,1
55.943583592,0,0,0
55.943596630,0,1,0
55.943596670,0,1,1
55.943596724,1,1,1
56.043581370,0,1,1
56.043581806,0,0,1
56.043582298,0,0,0
56.043594988,0,1,0
56.043595012,0,1,1
56.043595062,1,1,1
56.143579360,1,1,0
56.143579512,1,0,0
56.143579958,0,0,0
56.143593328,0,1,0
56.143593364,0,1,1
56.143593404,1,1,1
56.243577858,1,0,1
56.243578628,0,0,1
56.243578780,0,0,0
56.243591676,0,1,0
56.243591704,0,1,1
56.243591774,1,1,1
56.343576862,1,0,1
56.343576922,0,0,1
56.343577410,0,0,0
56.343590032,0,1,0
56.343590048,0,1,1
56.343590100,1,1,1
56.443574602,1,0,1
56.443574974,0,0,1
56.443575138,0,0,0
56.443588374,0,1,0
56.443588382,0,1,1
56.443588462,1,1,1
56.543572712,0,1,1
56.543572776,0,1,0
56.543572868,0,0,0
56.543586708,0,0,1
56.543586714,0,1,1
56.543586792,1,1,1
56.643571644,0,1,1
56.643571704,0,0,1
56.643571976,0,0,0
56.643585046,0,1,0
56.643585062,0,1,1
56.643585128,1,1,1
56.743569502,1,0,1
56.743569914,1,0,0
56.743570052,0,0,0
56.743583378,0,0,1
56.743583410,0,1,1
56.743583498,1,1,1
56.843568526,1,0,1
56.843568718,1,0,0
56.843569446,0,0,0
56.843581746,0,0,1
56.843581776,0,1,1
56.843581818,1,1,1
56.943566404,1,0,1
56.943566552,0,0,1
56.943567042,0,0,0
56.943580080,0,0,1
56.943580096,0,1,1
56.943580162,1,1,1
57.043564784,0,1,1
57.043565120,0,0,1
57.043565736,0,0,0
57.043578424,0,0,1
57.043578442,0,1,1
57.043578524,1,1,1
57.143562782,1,0,1
57.143563116,0,0,1
57.143563538,0,0,0
57.143576748,0,0,1
57.143576814,0,1,1
57.143576854,1,1,1
57.243561384,1,0,1
57.243561820,0,0,1
57.243562028,0,0,0
57.243575108,0,0,1
57.243575156,0,1,1
57.243575200,1,1,1
57.343560150,1,0,1
57.343560520,1,0,0
57.343560626,0,0,0
57.343573472,0,0,1
57.343573474,0,1,1
57.343573546,1,1,1
57.443557462,1,0,1
57.443558344,0,0,1
57.443558556,0,0,0
57.443571802,0,0,1
57.443571840,0,1,1
57.443571878,1,1,1
57.543556346,1,1,0
57.543556366,1,0,0
57.543556410,0,0,0
57.543570134,0,0,1
57.543570188,0,1,1
57.543570200,1,1,1
57.643555054,1,0,1
57.643555344,1,0,0
57.643555494,0,0,0
57.643568466,0,0,1
57.643568528,0,1,1
57.643568570,1,1,1
57.743552762,1,0,1
57.743553468,0,0,1
57.743553708,0,0,0
57.743566826,0,0,1
57.743566876,0,1,1
57.743566912,1,1,1
57.843551416,1,0,1
57.843551740,0,0,1
57.843552856,0,0,0
57.843565128,0,0,1
57.843565186,0,1,1
57.843565260,1,1,1
57.943549766,1,0,1
57.943550372,0,0,1
57.943550636,0,0,0
57.943563498,0,0,1
57.943563538,0,1,1
57.943563600,1,1,1
58.043548264,0,1,1
58.043548562,0,0,1
58.043549434,0,0,0
58.043561840,0,0,1
58.043561906,0,1,1
58.043561956,1,1,1
58.143546276,1,0,1
58.143546328,1,0,0
58.143546696,0,0,0
58.143560186,0,0,1
58.143560224,0,1,1
58.143560268,1,1,1
58.243544818,1,0,1
58.243545276,0,0,1
58.243545636,0,0,0
58.243558546,0,1,1
58.243558636,1,1,1
58.343543762,1,0,1
58.343543796,1,0,0
58.343544096,0,0,0
58.343556874,0,0,1
58.343556922,0,1,1
58.343556976,1,1,1
58.443541292,1,0,1
58.443541852,0,0,1
58.443541986,0,0,0
58.443555234,0,0,1
58.443555238,0,1,1
58.443555296,1,1,1
58.543539604,0,1,1
58.543539698,0,0,1
58.543539772,0,0,0
58.543553580,0,0,1
58.543553592,0,1,1
58.543553648,1,1,1
58.643538516,0,1,1
58.643538584,0,0,1
58.643538920,0,0,0
58.643551920,0,0,1
58.643551930,0,1,1
58.643552000,1,1,1
58.743536578,1,0,1
58.743536740,0,0,1
58.743537084,0,0,0
58.743550284,0,0,1
58.743550314,0,1,1
58.743550322,1,1,1
58.843534828,1,0,1
58.843535646,1,0,0
58.843536156,0,0,0
58.843548638,0,0,1
58.843548642,0,1,1
58.843548688,1,1,1
58.943533224,1,0,1
58.943533500,0,0,1
58.943533854,0,0,0
58.943546978,0,0,1
58.943547000,0,1,1
58.943547026,1,1,1
59.043531776,0,1,1
59.043531998,0,0,1
59.043532590,0,0,0
59.043545308,0,0,1
59.043545326,0,1,1
59.043545390,1,1,1
59.143529694,1,0,1
