Time [s],Sheep0S,Sheep1,Sheep2
49.113348110,1,1,1
49.213332968,0,1,1
49.213333274,0,0,1
49.213333710,0,0,0
49.213346044,1,0,0
49.213346054,1,0,1
49.213346384,1,1,1
49.313330880,0,1,1
49.313331490,0,0,1
49.313331516,0,0,0
49.313344396,1,0,0
49.313344426,1,0,1
49.313344718,1,1,1
49.413328968,1,0,1
49.413329240,0,0,1
49.413329688,0,0,0
49.413342754,1,0,0
49.413342808,1,0,1
49.413343062,1,1,1
49.513327976,0,1,1
49.513328182,0,1,0
49.513328262,0,0,0
49.513341128,1,0,0
49.513341172,1,0,1
49.513341422,1,1,1
49.613325564,1,1,0
49.613326258,0,1,0
49.613326298,0,0,0
49.613339490,1,0,0
49.613339566,1,0,1
49.613339776,1,1,1
49.713324450,0,1,1
49.713324522,0,1,0
49.713324824,0,0,0
49.713337878,1,0,0
49.713337892,1,0,1
49.713338138,1,1,1
49.813322668,1,0,1
49.813322818,0,0,1
49.813323264,0,0,0
49.813336244,1,0,0
49.813336268,1,0,1
49.813336480,1,1,1
49.913320606,1,0,1
49.913321412,0,0,1
49.913321520,0,0,0
49.913334596,1,0,0
49.913334636,1,0,1
49.913334882,1,1,1
50.013320032,0,1,1
50.013320188,0,0,1
50.013320458,0,0,0
50.013332998,1,0,0
50.013333012,1,0,1
50.013333230,1,1,1
50.113317394,1,1,0
50.113318004,1,0,0
50.113318278,0,0,0
50.113331338,1,0,0
50.113331376,1,0,1
50.113331588,1,1,1
50.213316516,1,0,1
50.213316598,0,0,1
50.213316988,0,0,0
50.213329714,1,0,0
50.213329750,1,0,1
50.213329970,1,1,1
50.313314406,0,1,1
50.313314660,0,0,1
50.313315376,0,0,0
50.313328092,1,0,0
50.313328118,1,0,1
50.313328304,1,1,1
50.413312404,1,0,1
50.413312950,0,0,1
50.413313388,0,0,0
50.413326462,1,0,1
50.413326654,1,1,1
50.513311822,1,0,1
50.513311850,0,0,1
50.513311872,0,0,0
50.513324800,1,0,0
50.513324864,1,0,1
50.513324970,1,1,1
50.613309336,1,1,0
