RefDes;IC-Art#;Value;PartDecal;PartDecal_Descr;Orient.;X;Y;Seite;Class;PinCnt;DISTRIB_NAME;DISTRIB#;DISTRIB_NPPU;;
R111;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;53;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R110;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;50.2;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R109;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;53.6;47.3;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R108;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;48.8;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R107;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;40.7;7.5;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R106;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;39.3;7.5;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R105;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;40;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R104;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;41.3;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R103;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;36.4;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R102;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;37.7;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R101;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;74.4;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R100;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;75.5;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R99;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;72;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R98;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;73.1;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
R97;;R_0402_1k;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;270;69.6;47.2;Oben;SMD;2;Mouser;667-ERJ-2GEJ102X;0.02;
