V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;4e-06;1,99813;4,58602e-06;1,80738;-4,00038e-06;0,7890254920939248
2,0;4e-06;1,99839;4,64519e-06;1,80682;-4,00037e-06;0,778630336931993
2,0;4e-06;1,99819;4,74013e-06;1,80713;-4,00037e-06;0,7632424617117001
2,0;4e-06;1,99823;4,69585e-06;1,80794;-4,00037e-06;0,7707694354639455
2,0;4e-06;1,99821;4,61553e-06;1,80696;-4,00035e-06;0,7837613138907354
2,0;4e-06;1,99813;4,67286e-06;1,80783;-4,00035e-06;0,7745493064828805
2,0;5e-06;1,99846;5,14031e-06;1,80817;-5,00029e-06;0,8801357887292881
2,0;5e-06;1,99861;5,60016e-06;1,80804;-5,0003e-06;0,8077474659579418
2,0;5e-06;1,99802;5,3212e-06;1,80705;-5,00028e-06;0,8498750504712059
2,0;5e-06;1,99837;5,64921e-06;1,80664;-5,0003e-06;0,800210161868217
2,0;5e-06;1,99866;5,83898e-06;1,80823;-5,00029e-06;0,7747702826579254
2,0;5e-06;1,99796;5,01276e-06;1,80713;-5,0003e-06;0,9022393318087393
2,0;5e-06;1,99838;5,99235e-06;1,80627;-5,0003e-06;0,7542294462148975
2,0;5e-06;1,99856;5,43995e-06;1,80812;-5,0003e-06;0,8315937415655639
2,0;5e-06;1,99803;4,7051e-06;1,80756;-5,00031e-06;0,961432478207459
2,0;5e-06;1,99842;5,84433e-06;1,80647;-5,00032e-06;0,7734051401514914
2,0;6e-06;1,99835;6,3573e-06;1,80733;-6,00038e-06;0,8536344849813413
2,0;6e-06;1,99841;6,19247e-06;1,8069;-6,00036e-06;0,8761186386073543
2,0;6e-06;1,99837;6,23504e-06;1,80752;-6,00035e-06;0,8704514429972533
2,0;6e-06;1,99817;7,11467e-06;1,80768;-6,00035e-06;0,7629761127055367
2,0;6e-06;1,99863;6,13048e-06;1,80793;-6,00038e-06;0,8853876996639332
2,0;6e-06;1,99832;7,34507e-06;1,80747;-6,00038e-06;0,7389054647108623
2,0;6e-06;1,99855;5,96519e-06;1,80694;-6,00033e-06;0,90945155264087
2,0;6e-06;1,99834;6,22255e-06;1,80739;-6,00037e-06;0,8721518966406193
2,0;6e-06;1,99835;7,06766e-06;1,80737;-6,00034e-06;0,7678488270253055
2,0;6e-06;1,99834;6,07015e-06;1,80792;-6,00032e-06;0,8943032656233031
2,0;7e-06;1,99869;7,30762e-06;1,80739;-7,00011e-06;0,8662342361688123
2,0;7e-06;1,99844;7,54451e-06;1,80707;-7,0001e-06;0,8389905475782211
2,0;7e-06;1,99836;7,45934e-06;1,80724;-7,00009e-06;0,8486826485977249
2,0;7e-06;1,99852;8,084e-06;1,80678;-7,00011e-06;0,7828441949689975
2,0;7e-06;1,99841;7,34214e-06;1,80689;-7,00014e-06;0,8620474758772453
2,0;7e-06;1,99851;8,54302e-06;1,80684;-7,00015e-06;0,7408141923926329
2,0;7e-06;1,99846;7,38143e-06;1,80665;-7,00015e-06;0,8573248377175146
2,0;7e-06;1,99861;8,31039e-06;1,80704;-7,00014e-06;0,7615966594416805
2,0;7e-06;1,99855;7,2916e-06;1,80737;-7,00017e-06;0,8681960429389095
2,0;7e-06;1,99868;7,95195e-06;1,8077;-7,00017e-06;0,796192418314821
2,0;8e-06;1,99855;8,74543e-06;1,80711;-7,99988e-06;0,8271263866887111
2,0;8e-06;1,99839;8,75418e-06;1,80762;-7,99988e-06;0,826599028250311
2,0;8e-06;1,99843;8,58393e-06;1,80754;-7,99989e-06;0,8429403130854676
2,0;8e-06;1,99843;8,74355e-06;1,80751;-7,99991e-06;0,8275401454078869
2,0;8e-06;1,99854;7,75868e-06;1,80745;-7,9999e-06;0,9325028446919926
2,0;8e-06;1,99844;8,70596e-06;1,80705;-7,99989e-06;0,8308954936315759
2,0;8e-06;1,99856;7,7103e-06;1,80711;-7,9999e-06;0,9381681395173219
2,0;8e-06;1,99849;8,68875e-06;1,80716;-7,99988e-06;0,8325700745553325
2,0;8e-06;1,99858;8,6069e-06;1,80706;-7,99989e-06;0,8404043543934354
2,0;8e-06;1,9985;8,67745e-06;1,80683;-7,99986e-06;0,8334957833682756
2,0;9e-06;1,99825;8,97389e-06;1,80698;-8,99971e-06;0,9068830767093864
2,0;9e-06;1,99864;8,83596e-06;1,80768;-8,9997e-06;0,9212155700423297
2,0;9e-06;1,99821;9,91142e-06;1,80741;-8,99972e-06;0,821312950167836
2,0;9e-06;1,99838;8,99736e-06;1,80743;-8,99973e-06;0,904685843644131
2,0;9e-06;1,99874;8,58035e-06;1,80765;-8,99973e-06;0,9485986855723838
2,0;9e-06;1,99831;9,19816e-06;1,80746;-8,99969e-06;0,8849778962207211
2,0;9e-06;1,99854;9,91686e-06;1,80763;-8,99973e-06;0,8208276807559803
2,0;9e-06;1,99847;8,94872e-06;1,80789;-8,99975e-06;0,9097957324409647
2,0;9e-06;1,99867;8,69428e-06;1,80714;-8,99973e-06;0,9359368848059094
2,0;9e-06;1,99835;1,02482e-05;1,80708;-8,99974e-06;0,7941237689982431
2,0;1e-05;1,99826;1,04541e-05;1,8079;-9,99933e-06;0,8653796155655679
2,0;1e-05;1,99835;1,03494e-05;1,80781;-9,99932e-06;0,8740504967074192
2,0;1e-05;1,99818;1,01702e-05;1,8074;-9,99929e-06;0,8893226238366541
2,0;1e-05;1,99814;1,00976e-05;1,80719;-9,99933e-06;0,8956341391780127
2,0;1e-05;1,9982;1,03491e-05;1,80734;-9,99934e-06;0,8739159344152796
2,0;1e-05;1,99809;1,02168e-05;1,80708;-9,99935e-06;0,8851547640141038
2,0;1e-05;1,99829;1,04952e-05;1,807;-9,99933e-06;0,8615486767712807
2,0;1e-05;1,99818;1,06361e-05;1,80784;-9,99934e-06;0,8505783166377306
2,0;1e-05;1,99815;1,00532e-05;1,80741;-9,99933e-06;0,8996947208645216
2,0;1e-05;1,99825;1,0704e-05;1,80732;-9,9993e-06;0,8449066548700964
2,0;2e-05;1,99853;1,96003e-05;1,80767;-2,00048e-05;0,9231663671598644
2,0;2e-05;1,99845;2,04784e-05;1,8077;-2,0004e-05;0,8835963134340279
2,0;2e-05;1,99837;2,05983e-05;1,80724;-2,00041e-05;0,8782690262711161
2,0;2e-05;1,99849;1,91997e-05;1,80758;-2,00047e-05;0,9423953792488965
2,0;2e-05;1,99842;2,05688e-05;1,80748;-2,00049e-05;0,8796586192945018
2,0;2e-05;1,99848;2,04437e-05;1,80769;-2,00051e-05;0,8851265675306601
2,0;2e-05;1,99842;1,9224e-05;1,8077;-2,0005e-05;0,9413137195071579
2,0;2e-05;1,99845;2,04535e-05;1,80712;-2,00052e-05;0,8844412055933664
2,0;2e-05;1,9985;2,06943e-05;1,80781;-2,00058e-05;0,8744879186781688
2,0;2e-05;1,99833;2,02757e-05;1,80749;-2,00051e-05;0,8924287746227353
2,0;3e-05;1,99874;2,996e-05;1,80745;-3,00047e-05;0,9056439037067318
2,0;3e-05;1,99873;3,00845e-05;1,80754;-3,00045e-05;0,9019394474659752
2,0;3e-05;1,99874;3,07543e-05;1,80749;-3,00046e-05;0,8822701669646003
2,0;3e-05;1,99865;3,03073e-05;1,80776;-3,00049e-05;0,8954657107976421
2,0;3e-05;1,99867;2,99827e-05;1,80755;-3,00047e-05;0,90504000235183
2,0;3e-05;1,99868;2,99442e-05;1,80747;-3,00045e-05;0,9061529532989477
2,0;3e-05;1,99872;2,99793e-05;1,80772;-3,00046e-05;0,9052021109369607
2,0;3e-05;1,9987;3,00672e-05;1,80748;-3,00047e-05;0,9024480075656032
2,0;3e-05;1,99873;2,99713e-05;1,80761;-3,00041e-05;0,9053690157034071
2,0;3e-05;1,99872;3,08049e-05;1,80756;-3,0005e-05;0,8808756231219363
2,0;4e-05;1,99893;3,92139e-05;1,80765;-4,00061e-05;0,9225776699625209
2,0;4e-05;1,99886;4,07143e-05;1,80766;-4,00066e-05;0,8886260541633161
2,0;4e-05;1,99893;3,96518e-05;1,80773;-4,00065e-05;0,912438560979899
2,0;4e-05;1,99893;3,94643e-05;1,8077;-4,00063e-05;0,9167538774734385
2,0;4e-05;1,9989;4,07782e-05;1,80746;-4,00061e-05;0,8871065615410517
2,0;4e-05;1,99894;3,91683e-05;1,80764;-4,00061e-05;0,9236420107665194
2,0;4e-05;1,9989;4,07689e-05;1,8076;-4,00057e-05;0,887368779559182
2,0;4e-05;1,99894;3,92295e-05;1,80765;-4,00049e-05;0,9221785223299078
2,0;4e-05;1,9989;3,98191e-05;1,80765;-4,00055e-05;0,9085556646276777
2,0;4e-05;1,99888;4,08654e-05;1,80759;-4,00051e-05;0,8852640201427541
2,0;5e-05;1,999;5,00947e-05;1,80749;-5,0006e-05;0,9025960852157021
2,0;5e-05;1,99904;5,00346e-05;1,80765;-5,00067e-05;0,9037548167200552
2,0;5e-05;1,99904;4,99916e-05;1,8078;-5,00063e-05;0,904599999252572
2,0;5e-05;1,99904;5,01314e-05;1,80761;-5,00062e-05;0,9019807549529647
2,0;5e-05;1,99904;5,01329e-05;1,80759;-5,00062e-05;0,9019437877462508
2,0;5e-05;1,99903;4,9954e-05;1,8077;-5,00069e-05;0,9052461982877406
2,0;5e-05;1,99903;5,00172e-05;1,80763;-5,00064e-05;0,9040583113749926
2,0;5e-05;1,99905;5,0161e-05;1,80784;-5,0006e-05;0,9015550806321604
2,0;5e-05;1,99907;5,01243e-05;1,80769;-5,00057e-05;0,9021258847653908
