V_out_nom;V_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,5;0,35;0,363699;0,0299986;2,5008;-0,00326024;0,7472192751319446
2,5;0,35;0,375567;0,0399988;2,50078;-0,00443958;0,7391829511211297
2,5;0,35;0,3580355;0,0500003;2,50081;-0,00501697;0,7010555260521035
3,0;0,35;0,351722;9,99965e-06;3,0007849999999996;-6,163535000000001e-08;0,05257872841861265
3,0;0,35;0,351115;1,99911e-05;3,00081;-1,19986e-06;0,512905251013196
3,0;0,35;0,351153;2,99913e-05;3,0008;-2,20259e-06;0,6277180205130611
3,0;0,35;0,351109;3,99927e-05;3,00081;-3,14676e-06;0,6723326461214586
3,0;0,35;0,351063;4,99944e-05;3,00081;-4,06046e-06;0,6941651106033649
3,0;0,35;0,350933;5,99936e-05;3,00081;-5,07621e-06;0,7235383120004503
3,0;0,35;0,350682;7,9994e-05;3,00081;-6,93325e-06;0,7414555348228336
3,0;0,35;0,350755;9,99909e-05;3,0008;-8,85406e-06;0,7575549684644629
3,0;0,35;0,351085;0,000199987;3,00079;-1,84681e-05;0,789310943610373
3,0;0,35;0,351182;0,000300005;3,00079;-2,80199e-05;0,7980409814724309
3,0;0,35;0,351148;0,000399999;3,00079;-3,76243e-05;0,803845928117105
3,0;0,35;0,348364;0,000500012;3,00079;-4,68635e-05;0,8073310245801426
3,0;0,35;0,340759;0,000600004;3,0008;-5,53175e-05;0,8119635137010918
3,0;0,35;0,340644;0,000799996;3,00079;-7,39158e-05;0,8141742651827938
3,0;0,35;0,341293;0,000999961;3,00078;-9,2812e-05;0,8160972087461111
3,0;0,35;0,344188;0,00199926;3,00079;-0,000187962;0,8200472712938266
3,0;0,35;0,337561;0,00299934;3,00082;-0,00027715;0,821430973453232
3,0;0,35;0,339924;0,00399929;3,00081;-0,000372855;0,823165926211563
3,0;0,35;0,34208;0,00499948;3,00081;-0,000469873;0,8244447327560844
3,0;0,35;0,344072;0,00599941;3,0008;-0,000568028;0,8256085798420332
3,0;0,35;0,339652;0,00799944;3,00082;-0,000747807;0,825932951647905
3,0;0,35;0,342268;0,00999929;3,0008;-0,00094347;0,8270349965562154
3,0;0,35;0,350972;0,0199969;3,0008;-0,00188193;0,8046670260397676
3,0;0,35;0,359872;0,0299985;3,00079;-0,0027709;0,7703032343563873
3,0;0,35;0,374972;0,0399983;3,00078;-0,00380709;0,761730196767774
3,0;0,35;0,357365;0,0500001;3,0008;-0,00433569;0,728504394153589
3,5;0,35;0,352252;9,99965e-06;3,50061;1,99988e-08;0,0
3,5;0,35;0,351572;1,99908e-05;3,50066;-5,64673e-07;0,2812857036660266
3,5;0,35;0,351568;2,99916e-05;3,50064;-1,70332e-06;0,5654368252778982
3,5;0,35;0,351628;3,99921e-05;3,50065;-2,49222e-06;0,6203032456634917
3,5;0,35;0,351587;4,9992e-05;3,50065;-3,39574e-06;0,676341813058159
3,5;0,35;0,351543;5,99927e-05;3,50065;-4,12619e-06;0,6849760896852718
3,5;0,35;0,351355;7,99935e-05;3,50066;-5,76203e-06;0,7176334878881057
3,5;0,35;0,351378;9,9991e-05;3,50065;-7,37535e-06;0,7350285243023055
3,5;0,35;0,3516;0,000199982;3,50063;-1,56177e-05;0,7776608189953085
3,5;0,35;0,351174;0,000300001;3,50064;-2,38355e-05;0,7921151009686471
3,5;0,35;0,342132;0,0004;3,50063;-3,1318e-05;0,8012776441576818
3,5;0,35;0,341581;0,000500012;3,50063;-3,93033e-05;0,8056894528024587
3,5;0,35;0,341464;0,000600004;3,50064;-4,72698e-05;0,8075045458773616
3,5;0,35;0,341698;0,000799995;3,50064;-6,33061e-05;0,8106754390860458
3,5;0,35;0,34239;0,000999959;3,50063;-7,94344e-05;0,812166627819565
3,5;0,35;0,336654;0,0019992;3,50066;-0,0001572;0,8176122304094162
3,5;0,35;0,339177;0,0029993;3,50065;-0,000238467;0,8205235770335879
3,5;0,35;0,319727;0,00399934;3,50065;-0,000292138;0,8004705963920721
3,5;0,35;0,334278;0,00499946;3,50067;-0,00039281;0,8227945487998921
3,5;0,35;0,336771;0,00599943;3,50067;-0,000475741;0,8242306957460498
3,5;0,35;0,340276;0,00799937;3,50068;-0,000642635;0,8264020742154112
3,5;0,35;0,342656;0,00999921;3,50064;-0,000810301;0,8279880150945337
3,5;0,35;0,350248;0,0199966;3,50063;-0,00161585;0,8075813211200276
3,5;0,35;0,358994;0,0299986;3,50065;-0,002398;0,7793803912195629
3,5;0,35;0,374787;0,0399984;3,50064;-0,0033177;0,774655745000929
3,5;0,35;0,355417;0,050000100000000006;3,5006649999999997;-0,003772;0,7428525517410687
4,0;0,35;0,352644;9,99967e-06;4,00057;1,92365e-08;0,0
4,0;0,35;0,351958;1,999e-05;4,00063;-3,68055e-07;0,2092959957385288
4,0;0,35;0,351992;2,99897e-05;4,00059;-1,32054e-06;0,500430369697168
4,0;0,35;0,352;3,99913e-05;4,0006;-2,06426e-06;0,5866057326745083
4,0;0,35;0,351903;4,99929e-05;4,00061;-2,79542e-06;0,6354562322623369
4,0;0,35;0,351828;5,99909e-05;4,00061;-3,46165e-06;0,6560384019401023
4,0;0,35;0,351758;7,99929e-05;4,00062;-4,86594e-06;0,6919485392402246
4,0;0,35;0,351735;9,99905e-05;4,00061;-6,30495e-06;0,7171243377195657
4,0;0,35;0,350513;0,000199982;4,0006;-1,33545e-05;0,7621860274955572
4,0;0,35;0,342594;0,000299997;4,0006;-2,01083e-05;0,78255931424273
4,0;0,35;0,34232;0,000399994;4,00059;-2,70459e-05;0,790266923768445
4,0;0,35;0,342348;0,000500009;4,00059;-3,40056e-05;0,794556239867151
4,0;0,35;0,342359;0,000600004;4,00058;-4,09069e-05;0,7965717497981015
4,0;0,35;0,342641;0,000799995;4,0006;-5,47388e-05;0,7991678520795702
4,0;0,35;0,343227;0,000999959;4,00059;-6,85489e-05;0,7991470165367093
4,0;0,35;0,320964;0,00199914;4,0006;-0,000127494;0,7926723144919622
4,0;0,35;0,330675;0,00299925;4,0006;-0,000201537;0,8128595062854561
4,0;0,35;0,33338;0,00399925;4,0006;-0,000271749;0,8155062482477655
4,0;0,35;0,335859;0,00499943;4,00059;-0,000343087;0,8173991648209131
4,0;0,35;0,337152;0,00599942;4,0006;-0,000413811;0,8184411364384595
4,0;0,35;0,336983;0,00799939;4,00059;-0,000550444;0,8169102614627248
4,0;0,35;0,343368;0,00999922;4,00059;-0,000706276;0,8229695333609466
4,0;0,35;0,349463;0,0199969;4,00057;-0,00140791;0,8060306072189936
4,0;0,35;0,357856;0,0299987;4,00059;-0,00209785;0,7820775939438632
4,0;0,35;0,374733;0,0399981;4,00057;-0,00292881;0,7817036552805333
4,0;0,35;0,35348749999999995;0,05;4,00063;-0,003322905;0,7519799131740753
2,0;0,4;0,402504;9,99965e-06;2,00072;-5,62747e-07;0,2797417191481573
2,0;0,4;0,401913;1,99908e-05;2,00072;-2,57884e-06;0,6422320830373535
2,0;0,4;0,401921;2,99914e-05;2,00073;-4,21324e-06;0,6992885869087657
2,0;0,4;0,401835;3,9993e-05;2,00074;-5,84455e-06;0,7277068932047746
2,0;0,4;0,401554;4,99925e-05;2,00074;-7,43889e-06;0,7414121757830847
2,0;0,4;0,401628;5,99942e-05;2,00073;-9,07205e-06;0,7533545400153265
2,0;0,4;0,401931;7,9993e-05;2,00072;-1,23164e-05;0,766340448304577
2,0;0,4;0,401887;9,99912e-05;2,00072;-1,55683e-05;0,7751044885932546
2,0;0,4;0,401972;0,000199979;2,00071;-3,1806e-05;0,7915793296862251
2,0;0,4;0,401923;0,000300003;2,00071;-4,80395e-05;0,7971044707143075
2,0;0,4;0,401979;0,000399999;2,0007;-6,4308e-05;0,800111791776146
2,0;0,4;0,401884;0,00050001;2,00071;-8,05215e-05;0,8016915230931031
