origin;component;range;v_error_mean_mV;v_error_max_mV;v_error_std_mV;c_error_mean_mA;c_error_max_mA;c_error_std_mA
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_A;full;26,78316839;738,36;97,27508819;0,043559938;2,503235785;0,185122272
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_A;limited;1,809897959;2,63;0,314154193;0,013277395;0,111796805;0,01063531
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_B;full;0,0;0,0;0,0;0,079047311;2,639816502;0,31188832
sheep0_cape_v230c1_profile_10_short_improved_profiling;EMU_B;limited;0,0;0,0;0,0;0,012339063;0,082256599;0,009321732
sheep0_cape_v230c1_profile_10_short_improved_profiling;HRV;full;291,1883854;5246,172;981,2495549;0,116667273;1,001;0,312528633
sheep0_cape_v230c1_profile_10_short_improved_profiling;HRV;limited;0,209387755;0,68;0,178003772;0,005137271;0,045973977;0,004588452
sheep0_cape_v230c1_profile_11_short_hrv_without_sense_base;HRV;full;11,08124173;1093,29;85,72525806;0,028000935;1,001;0,146102665
sheep0_cape_v230c1_profile_11_short_hrv_without_sense_base;HRV;limited;0,166428571;0,55;0,142944623;0,005287941;0,05338502;0,004700708
sheep0_cape_v230c1_profile_12_short_R22_from_100k_to_1k;HRV;full;418,0903155;7044,08;1356,720501;0,009636111;0,058239332;0,010890124
sheep0_cape_v230c1_profile_12_short_R22_from_100k_to_1k;HRV;limited;0,149693878;0,48;0,124846476;0,005323062;0,053973704;0,004746372
sheep0_cape_v230c1_profile_13_short_C140_from_22pF_to_1nF;HRV;full;288,3259629;5204,739;973,3789621;0,00960792;0,057972667;0,011044448
sheep0_cape_v230c1_profile_13_short_C140_from_22pF_to_1nF;HRV;limited;0,20122449;0,63;0,17504091;0,005178875;0,053804217;0,00463996
sheep0_cape_v230c1_profile_14_short_C140_to_2nF;HRV;full;287,3086541;5273,419;974,4869904;0,009697617;0,055867252;0,010938708
sheep0_cape_v230c1_profile_14_short_C140_to_2nF;HRV;limited;0,217653061;0,69;0,194636254;0,005231277;0,049041516;0,004564979
sheep0_cape_v230c1_profile_15_short_C35_100nF_removed;HRV;full;300,9090337;5248,792;984,2710833;0,010583111;0,056531888;0,012679489
sheep0_cape_v230c1_profile_15_short_C35_100nF_removed;HRV;limited;0,215612245;0,7;0,193839131;0,00516934;0,044158078;0,004481807
sheep0_cape_v230c1_profile_16_short_TP6_with_10nF_ADC_V;HRV;full;289,2802583;5253,664;972,5145149;0,010030125;0,056503136;0,011963222
sheep0_cape_v230c1_profile_16_short_TP6_with_10nF_ADC_V;HRV;limited;0,191326531;0,6;0,157665617;0,005035854;0,048570352;0,004420876
sheep0_cape_v230c1_profile_17_shortf_bakeoff;EMU_A;full;25,58789486;738,66;94,69972762;0,046535916;2,548977317;0,196186372
sheep0_cape_v230c1_profile_17_shortf_bakeoff;EMU_A;limited;1,920204082;2,77;0,343115931;0,013568664;0,12488827;0,010913256
sheep0_cape_v230c1_profile_17_shortf_bakeoff;EMU_B;full;0,0;0,0;0,0;0,078991489;2,622273152;0,311788861
sheep0_cape_v230c1_profile_17_shortf_bakeoff;EMU_B;limited;0,0;0,0;0,0;0,012303968;0,085268178;0,009291439
sheep0_cape_v230c1_profile_17_shortf_bakeoff;HRV;full;276,4076368;5272,08;944,950762;0,009914954;0,0572681;0,011580958
sheep0_cape_v230c1_profile_17_shortf_bakeoff;HRV;limited;0,200306122;0,46;0,113869373;0,005157241;0,047026934;0,004601349
sheep0_cape_v230c1_profile_18_short_R22_to_100R;HRV;full;1,047314596;22,31;2,747103411;0,005998978;0,062945232;0,005925937
sheep0_cape_v230c1_profile_18_short_R22_to_100R;HRV;limited;0,199081633;0,52;0,123751623;0,00559047;0,059864896;0,004890092
sheep0_cape_v230c1_profile_19_short_C140_to_10nF;HRV;full;281,5092286;5063,46;944,3055831;0,007065606;0,064240639;0,005889587
sheep0_cape_v230c1_profile_19_short_C140_to_10nF;HRV;limited;0,190612245;0,54;0,136597257;0,005350886;0,056109044;0,004745455
sheep0_cape_v230c1_profile_20_short_hrv_Shunt_to_10R_gain10;HRV;full;281,931435;5266,789;965,7892278;0,005519766;0,059231432;0,005645782
sheep0_cape_v230c1_profile_20_short_hrv_Shunt_to_10R_gain10;HRV;limited;0,199285714;0,58;0,138602728;0,005247394;0,056235699;0,004703498
sheep0_cape_v230c1_profile_21_short_hrv_diode_to_SSM;HRV;full;284,9361737;5248,175;969,9028851;0,005652234;0,05955834;0,005805742
sheep0_cape_v230c1_profile_21_short_hrv_diode_to_SSM;HRV;limited;0,203877551;0,56;0,144466886;0,00531192;0,050710761;0,004803227
sheep0_cape_v230c1_profile_22_short_C35_to_470nF;HRV;full;280,8302387;5133,193;961,0917942;0,004869681;0,055066156;0,004722424
sheep0_cape_v230c1_profile_22_short_C35_to_470nF;HRV;limited;0,196122449;0,54;0,131534379;0,004515716;0,039354603;0,003912839
sheep0_cape_v230c1_profile_23_short_InputCap_2x100nF;HRV;full;305,9555153;5263,896;986,7294745;0,0056162;0,051745401;0,005285968
sheep0_cape_v230c1_profile_23_short_InputCap_2x100nF;HRV;limited;0,208469388;0,57;0,139161872;0,005257299;0,043721323;0,004514502
sheep0_cape_v230c1_profile_24_short_C35_removed;HRV;full;293,7015445;5246,548;971,27514;0,006306639;0,062011686;0,005911807
sheep0_cape_v230c1_profile_24_short_C35_removed;HRV;limited;0,218571429;2,29;0,248255148;0,006234635;0,055825339;0,005380875
sheep0_cape_v230c1_profile_25_short_InputCap_removed;HRV;full;1,93670834;138,88;9,782652567;0,005739633;0,066450384;0,005847901
sheep0_cape_v230c1_profile_25_short_InputCap_removed;HRV;limited;0,204795918;0,67;0,162494778;0,005462444;0,051311909;0,004878726
sheep0_cape_v230c1_profile_26_short_R22_33R_10nF;HRV;full;262,7198421;4933,79;895,2863824;0,005628469;0,061145507;0,005920257
