V_inp_nom;V_inp;I_inp;V_out;I_out;eta
4,0;3,999775;8,045335000000001e-07;1,810725;-7,00052e-07;0,3942633571589568
4,0;3,999155;1,1595449999999998e-06;1,80596;-8,000375e-07;0,3122149571508068
4,0;3,989965;9,907755e-07;1,807235;-9,000235e-07;0,4113958720449721
4,0;3,99959;1,240785e-06;1,80792;-9,999895000000002e-07;0,3649888963639254
4,0;3,99937;1,6883699999999998e-06;1,8065099999999998;-2,000225e-06;0,5351559836552937
4,0;3,999175;2,2540699999999997e-06;1,807205;-3,00039e-06;0,6013738182531426
4,0;3,9992;2,6065100000000002e-06;1,80653;-4,00046e-06;0,6932997722586374
4,0;3,999225;3,150025e-06;1,8068499999999998;-5,00039e-06;0,7173233145985979
4,0;3,99932;3,757695e-06;1,80693;-6,00045e-06;0,7214741393081403
4,0;3,99927;4,175555e-06;1,80729;-7,0002e-06;0,7576170935834052
4,0;3,99941;4,760505e-06;1,80682;-7,99992e-06;0,7594120956672139
4,0;3,999485;5,2626650000000005e-06;1,806875;-8,9998e-06;0,7726258742876329
4,0;3,99956;5,8559999999999995e-06;1,807175;-9,999395e-06;0,7713861907119363
4,0;3,999455;1,0807700000000002e-05;1,8068849999999999;-2,0006199999999998e-05;0,8362121029556577
4,0;3,99961;1,60487e-05;1,80686;-3,00063e-05;0,8445766293399601
4,0;3,99974;2,10705e-05;1,8068;-4,00074e-05;0,857771434750086
4,0;3,9997249999999998;2,632185e-05;1,80701;-5,00084e-05;0,8583102194998102
4,0;3,99975;3,1382000000000005e-05;1,8067950000000002;-6,000645e-05;0,8636585267928774
4,0;3,99983;3,657755e-05;1,8069;-7,00061e-05;0,8645091277448338
4,0;3,99986;4,18305e-05;1,80681;-8,000269999999999e-05;0,8639679533564211
4,0;3,999855;5,18188e-05;1,80688;-9,99997e-05;0,8715719102330752
4,0;3,999885;0,0001039045;1,803285;-0,0002000355;0,8680004002248585
4,0;3,99987;0,00015524149999999998;1,80278;-0,00030005;0,8710989264636844
4,0;3,99988;0,000206536;1,802575;-0,000400044;0,8727925416166635
