V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;7e-05;1,99974;6,93221e-05;1,8071;-7,00069e-05;0,9125943772567241
2,0;7e-05;1,99976;6,90877e-05;1,80708;-7,00067e-05;0,9156687093565276
2,0;8e-05;1,99973;7,91653e-05;1,8072;-8,00046e-05;0,9133031431553729
2,0;8e-05;1,99972;7,89161e-05;1,80708;-8,00047e-05;0,9161320478021807
2,0;8e-05;1,99971;7,93894e-05;1,80724;-8,0005e-05;0,9107588956123711
2,0;8e-05;1,99974;7,9301e-05;1,80674;-8,00044e-05;0,9115013885614287
2,0;8e-05;1,99973;7,93958e-05;1,80688;-8,00045e-05;0,910489276489528
2,0;8e-05;1,99972;7,8919e-05;1,8072;-8,00042e-05;0,9161534914080816
2,0;8e-05;1,99967;7,91901e-05;1,80698;-8,00038e-05;0,9129242400844004
2,0;8e-05;1,99974;7,94526e-05;1,80679;-8,00043e-05;0,9097862327112303
2,0;8e-05;1,99972;7,91952e-05;1,80704;-8,00032e-05;0,9128660892295412
2,0;8e-05;1,99983;7,94772e-05;1,80683;-8,00037e-05;0,9094770155952452
2,0;9e-06;1,99904;9,58812e-06;1,8068;-8,99976e-06;0,8483714890998646
2,0;9e-06;1,99902;9,1652e-06;1,80693;-8,99977e-06;0,8875925604552208
2,0;9e-06;1,99893;9,72953e-06;1,80696;-8,99977e-06;0,8361621448518234
2,0;9e-06;1,99911;9,92431e-06;1,8066;-8,99975e-06;0,819512228211704
2,0;9e-06;1,9992;9,7389e-06;1,80685;-8,99976e-06;0,835193063147694
2,0;9e-06;1,99905;9,8306e-06;1,80722;-8,99977e-06;0,8276348177576889
2,0;9e-06;1,99899;9,78885e-06;1,80699;-8,99978e-06;0,8310848148881698
2,0;9e-06;1,99897;9,88282e-06;1,80712;-8,99976e-06;0,8232481409551206
2,0;9e-06;1,99898;9,2796e-06;1,80688;-8,9998e-06;0,8766464206801936
2,0;9e-06;1,99891;9,63709e-06;1,8069;-8,9998e-06;0,844165930811307
2,0;0,0001;1,99983;9,84826e-05;1,80686;-9,99999e-05;0,9174269308192904
2,0;0,0001;1,99977;9,85655e-05;1,80665;-0,0001;0,9165771941732628
2,0;0,0001;1,99984;9,84104e-05;1,80664;-9,99996e-05;0,9179808819114901
2,0;0,0001;1,99986;9,83058e-05;1,80672;-9,99986e-05;0,9189799500145659
2,0;0,0001;1,99986;9,87001e-05;1,8068;-9,99999e-05;0,9153611181384087
2,0;0,0001;1,99982;9,93065e-05;1,80681;-9,99998e-05;0,9097939276841008
2,0;0,0001;1,99983;9,8105e-05;1,80737;-9,99997e-05;0,9212161545988683
2,0;0,0001;1,99986;9,81936e-05;1,80659;-0,0001;0,9199766940782855
2,0;0,0001;1,99985;9,84331e-05;1,80698;-0,0001;0,9179409841125725
2,0;0,0001;1,99984;9,8269e-05;1,80677;-0,000100001;0,9193807926761158
2,0;0,0002;1,99985;0,000196442;1,80799;-0,000200031;0,9205800535986025
2,0;0,0002;1,99984;0,000196457;1,80756;-0,000200034;0,9203092412864353
2,0;0,0002;1,99985;0,00019641;1,80782;-0,000200035;0,9206618751077682
2,0;0,0002;1,99986;0,000196396;1,80767;-0,000200036;0,9206511075258355
2,0;0,0002;1,99984;0,00019643;1,80795;-0,000200035;0,9206389370947059
2,0;0,0002;1,99985;0,000196478;1,80779;-0,000200033;0,9203187645144293
2,0;0,0002;1,99985;0,000196275;1,80785;-0,00020003;0,9212873757532835
2,0;0,0002;1,99985;0,000196405;1,80801;-0,000200031;0,9207636635984379
2,0;0,0002;1,99986;0,000196329;1,80801;-0,000200031;0,9211154901864478
