Time [s],Sheep1,Sheep2
60.815092026,1,1
60.815112464,1,0
60.925997380,0,0
60.926195548,1,0
60.926195980,1,1
60.926206388,1,0
61.037085884,0,0
61.037299340,1,0
61.037299586,1,1
61.037320022,1,0
61.148202188,0,0
61.148403008,1,0
61.148403252,1,1
61.148413666,1,0
61.259304820,0,0
61.259506906,1,0
61.259507146,1,1
61.259517594,1,0
61.370409048,0,0
61.370610716,1,0
61.370610962,1,1
61.370621370,1,0
61.481510088,0,0
61.481714542,1,0
61.481714788,1,1
61.481735244,1,0
61.592614624,0,0
61.592818092,1,0
61.592818336,1,1
61.592828746,1,0
61.703719746,0,0
61.703921844,1,0
61.703922088,1,1
61.703932508,1,0
61.814816416,0,0
61.815025970,1,0
61.815026914,1,1
61.815057428,1,0
61.925933742,0,0
61.926129858,1,0
61.926130554,1,1
61.926140962,1,0
62.037032440,0,0
62.037233240,1,0
62.037233670,1,1
62.037244128,1,0
62.148129668,0,0
62.148337216,1,0
62.148337450,1,1
62.148357916,1,0
62.259242306,0,0
62.259441134,1,0
62.259441586,1,1
62.259451994,1,0
62.370343376,0,0
62.370544706,1,0
62.370544946,1,1
62.370555354,1,0
62.481447844,0,0
62.481648642,1,0
62.481648892,1,1
62.481669330,1,0
62.592555052,0,0
62.592752280,1,0
62.592752530,1,1
62.592762974,1,0
62.703658212,0,0
62.703855950,1,0
62.703856192,1,1
62.703866650,1,0
62.814758838,0,0
62.814959788,1,0
62.814960028,1,1
62.814970436,1,0
62.925847702,0,0
62.926064046,1,0
62.926064848,1,1
62.926095358,1,0
63.036956328,0,0
63.037167536,1,0
63.037167776,1,1
63.037188240,1,0
63.148065266,0,0
63.148271304,1,0
63.148271758,1,1
63.148282166,1,0
63.259176314,0,0
63.259375240,1,0
63.259375696,1,1
63.259386104,1,0
63.370267384,0,0
63.370478942,1,0
63.370479186,1,1
63.370499640,1,0
63.481377362,0,0
63.481582888,1,0
63.481583132,1,1
63.481603572,1,0
63.592486530,0,0
63.592686566,1,0
63.592687228,1,1
63.592717698,1,0
63.703583818,0,0
63.703790436,1,0
63.703791056,1,1
63.703821544,1,0
63.814683908,0,0
63.814893874,1,0
63.814894118,1,1
63.814914592,1,0
63.925791756,0,0
63.925997920,1,0
63.925998166,1,1
63.926008574,1,0
64.036892354,0,0
64.037101752,1,0
64.037102372,1,1
64.037132838,1,0
64.147999340,0,0
64.148205728,1,0
64.148206156,1,1
64.148216566,1,0
64.259108592,0,0
64.259309416,1,0
64.259309856,1,1
64.259320264,1,0
64.370203758,0,0
64.370412796,1,0
64.370413042,1,1
64.370433478,1,0
64.481316284,0,0
64.481516672,1,0
64.481517126,1,1
64.481527546,1,0
64.592409516,0,0
64.592620560,1,0
64.592620806,1,1
64.592641248,1,0
64.703521954,0,0
